tiopeptido,ring_members,series,actividad,core_YcaO,tip,numero_ncbi,n_MiBIG,cepa,especie,genero,ecosistema,sintetizado_aislado,place,year,structure,extra,referencia,DOI
tiopeptina_ala,,a,,,,,,7906,tideyamensis,streptomyces,soil,aislado,japan,1970,,,shen_2019,https://doi.org/10.1007/s00044-019-02361-1
tiopeptina_A3a,,a,,,,,,7906,tideyamensis,streptomyces,soil,aislado,japan,,,,shen_2020,https://doi.org/10.1007/s00044-019-02361-2
tiopeptina_A4a,,a,,,,,,7906,tideyamensis,streptomyces,soil,aislado,japan,,,,shen_2021,https://doi.org/10.1007/s00044-019-02361-3
tiopeptina_Ba,,a,,,,,,7906,tideyamensis,streptomyces,soil,aislado,japan,,,,shen_2022,https://doi.org/10.1007/s00044-019-02361-4
68-1147_I,,a,antimicrobiano,PYC67535.1_PYC67537.1,,PYBV01000027.1,BGC0001473,NRRL_8040,arborensis,micromonospora,,aislado,,1978,,,,
68_1147_II,,a,,,,,,NRRL_8040,arborensis,micromonospora,,aislado,,1978,,,,
thiostreptons_AB,,b,antimicrobianao_antiparasitario,,,,,ATCC14921,azureus,streptomyces,soil,aislado,mexico,1954,,,,
thiostreptons_AB,,b,antimicrobianao_antiparasitario,,,,,ATCC31255,laurentii,streptomyces,soil,aislado,,1977,,,,
bryamycin_IGUAL,,b,,,,,,,hawaiiensis,streptomyces,,aislado,,1955,,,,
thiactin_IGUAL,,b,,,,,,,hawaiiensis,streptomyces,,aislado,,1963,,,,
siomycin_A,,b,antimicrobiano_anticancer_inmunosupresor,,,,,Lv,sioyaensis,streptomyces,,aislado,,1959,,solubilidad,,
siomycin_B,,b,antimicrobiano,,,,,Lv,sioyaensis,streptomyces,,aislado,,1959,,,,
siomycin_C,,b,antimicrobiano,,,,,Lv,sioyaensis,streptomyces,,aislado,,1959,,,,
siomycin_D_1,,b,antimicrobiano,,,,,,sioyaensis,streptomyces,,aislado,,1981,,,,
tiopeptina_A_1b,,b,,,,,,7906,tideyamensis,streptomyces,soil,aislado,japan,1970,,,,
tiopeptina_A_3b,,b,,,,,,7906,tideyamensis,streptomyces,soil,aislado,japan,1970,,,,
tiopeptina_A_4b,,b,,,,,,7906,tideyamensis,streptomyces,soil,aislado,japan,1970,,,,
tiopeptina_B_b,,b,,,,,,7906,tideyamensis,streptomyces,soil,aislado,japan,1970,,,,
sch_40832,,c,antimicrobiano,,,,,ATCC_39149,carbonecea,micromonosporia,,aislado,,1945,,unico_serie_en_C,,
micrococcin_P2,,d,antimicrobiano,,,,,,spp,micrococcus,sewage,aislado,,1948,,,,
micrococcin_P1,,d,antimicrobiano,,,,,,spp,micrococcus,sewage,aislado,,1948,,,,
micrococcin_P1,,d,antimicrobiano_anticancer_antimalaria_antituberculosis,,,,,WS_2733,equorum,staphylococcus,cheese,aislado,,2000,,,,
sulfomycina_I,,d,antimicrobiano,,,,,ATCC_29776,ciridochromogenes,streptomyces,,aislado,,1969,,,,
sulfomycina_II,,d,antimicrobiano,,,,,ATCC_29776,ciridochromogenes,streptomyces,,aislado,,1969,,,,
sulfomycina_III,,d,antimicrobiano,,,,,ATCC_29776,ciridochromogenes,streptomyces,,aislado,,1969,,,,
metilsulfomicina_I,35_miembros,d,antimicrobiano,,,,,HIL_Y-9420704,spp,streptomyces,,aislado,,1999,,,,
berninamycina_A,,d,antimicrobiano,,,,,nova,bernensis,streptomyces,,aislado,,1969,,funcion_solo_invitro,,
berninamycina_B,,d,,,,,,,,,,,,1994,,,,
berninamycina_C,,d,,,,,,,,,,,,,,,,
berninamycina_D,,d,,,,,,,,,,,,,,,,
berninamycina_E,,d,,,,,,NBRC12741,atroolivaceus,streptomyces,,caracterizado,,,,,,
thiocilina_I,,d,antimicrobiano_inductores_biofilm,,,,,G-157/I-13,cereus/megatherium,bacilus,,aislado,,1976,,,,
thiocilina_II,,d,antimicrobiano_inductores_biofilm,,,,,AR-91,badius,bacilus,,aislado,,1976,,,,
thiocilina_III,,d,antimicrobiano_inductores_biofilm,,,,,AR-91,badius,bacilus,,aislado,,1976,,,,
thioxamycina,,d,antimicrobiano ,,,,,PA-46025,sp,streptomyces,,,,1989,,,,
thioactina,,d,antimicrobiano,,,,,DP94,sp,streptomyces,,,,,,tipA screening,,
cyclothiazomycina_A,,d,human_plasma_renin,,,,,NR0516,sp,streptomyces,,aislado,japon,1990,,tipA screening,,
cyclothiazomycina_B,,d,antifungal_inhibit_RNA_pol,,,,,A307,sp,streptomyces,,,,2006,,,,
cyclothiazomycina_C,,d,,,,,,WC-3908,sp,streptomyces,,,,2014,,,,
GE2270_A,,d,antituberculosis,,,,,ATCC_53773,rosea,planobispora,,aislado,,1991,,ataca_EF-Tu,,
GE2270_B1,,d,,,,,,ATCC_53773,rosea,planobispora,,aislado,,1995,,,,
GE2270_B2,,d,,,,,,ATCC_53773,rosea,planobispora,,aislado,,,,,,
GE2270_C1,,d,,,,,,ATCC_53773,rosea,planobispora,,aislado,,,,,,
GE2270_C2a,,d,,,,,,ATCC_53773,rosea,planobispora,,aislado,,,,,,
GE2270_C2b,,d,,,,,,ATCC_53773,rosea,planobispora,,aislado,,,,,,
GE2270_D1,,d,,,,,,ATCC_53773,rosea,planobispora,,aislado,,,,,,
GE2270_D2,,d,,,,,,ATCC_53773,rosea,planobispora,,aislado,,,,,,
GE2270_E,,d,,,,,,ATCC_53773,rosea,planobispora,,aislado,,,,,,
GE2270_T,,d,,,,,,ATCC_53773,rosea,planobispora,,aislado,,,,,,
LFF571,,d,antimicrobiano,,,,,,,,,,,,,,,
NAI003,,d,antimicrobiano,,,,,,,,,,,,,derivado_de_GE2270,,
A10255_B,,d,,,,,,NRLL_15537,gardneri,streptomyces,,aislado,,1992,,,,
A10255_C,,d,,,,,,NRLL_15537,gardneri,streptomyces,,aislado,,1992,,,,
A10255_D,,d,,,,,,NRLL_15537,gardneri,streptomyces,,aislado,,1992,,,,
A10255_E,,d,,,,,,NRLL_15537,gardneri,streptomyces,,aislado,,1992,,,,
A10255_F,,d,,,,,,NRLL_15537,gardneri,streptomyces,,aislado,,1992,,,,
A10255_G,,d,,,,,,NRLL_15537,gardneri,streptomyces,,aislado,,1992,,,,
A10255_H,,d,,,,,,NRLL_15537,gardneri,streptomyces,,aislado,,1992,,,,
A10255_J,,d,,,,,,NRLL_15537,gardneri,streptomyces,,aislado,,1992,,,,
promothiocins_A,,d,antimicrobiano,,,,,SF2741,sp,streptomyces,,aislado,,1994,,tipA_screening,,
promothiocins_B,,d,antimicrobiano,,,,,,,,,,,,,,,
promothiocins_a,,d,,,,,,,,,,,,,,derivados,,
promothiocins_b,,d,,,,,,,,,,,,,,derivados,,
JBIR-83,,d,,,,,,RI19,sp,streptomyces,soil,aislado,japon,2010,,derivados,,
JBIR-84,,d,,,,,,RI19,sp,streptomyces,soil,aislado,japon,2010,,derivados,,
thiotipin,,d,antimicrobiano,,,,,DT31,sp,streptomyces,,aislado,,1994,,tipA_screening,,
geninthiocin,,d,antimicrobiano,,,,,DD84,sp,streptomyces,,aislado,japon,1994,,tipA_screening,,
val-geninthiocin,,d,antimicrobiano_antifungal,,,,,RSF18,sp,streptomyces,,,,2008,,,,
amythiamicin_A,,d,antimicrobiano,,,,,MI481-42F4,sp,amycolatopsis,,aislado,japon,1994,,,,
amythiamicin_B,,d,antimicrobiano,,,,,MI481-42F4,sp,amycolatopsis,,aislado,japon,1994,,,,
amythiamicin_C,,d,antimicrobiano,,,,,MI481-42F4,sp,amycolatopsis,,aislado,japon,1994,,,,
amythiamicin_D,,d,antimicrobiano,,,,,MI481-42F4,sp,amycolatopsis,,aislado,japon,1994,,,,
GE37468A,,d,antimicrobiano,,,,,ATCC_55365,sp,streptomyces,,aislado,,1995,,good_invivo,,
GE37468B,,d,,,,,,,,,,,,1997,,derivados,,
GE37468C,,d,,,,,,,,,,,,1997,,derivados,,
promoinducin,,d,antimicrobiano,,,,,SF2741,sp,streptomyces,,aislado,,1997,,,,
alexomycin_U-82,,d,estimulador_crecimiento,,,,,,arginensis,streptomyces,,,,1998,,combinacion_sulfomicina_I_promothiocin_B,,
radamycina,35_miembros,d,induce_tipA,,,,,RSP9,sp,streptomyces,,aislado,,2001,,induces_mas_tipA_que_thiostreptona,,
QN3323_A,,d,antimicrobiano,,,,,,sp,bacillus,,caracterizado,,2002,,,,
QN3323_B,,d,antimicrobiano,,,,,,sp,bacillus,,caracterizado,,2002,,,,
QN3323_C,,d,antimicrobiano,,,,,,sp,bacillus,,caracterizado,,2002,,,,
QN3323_Y1,,d,antimicrobiano,,,,,,sp,bacillus,,caracterizado,,2002,,,,
YM-266183,,d,antimicrobiano,,,,,QNO3323,cereus,bacillus,marinus,aislado,,2005,,,,
YM-266184,,d,antimicrobiano,,,,,QNO3323,cereus,bacillus,marinus,aislado,,2005,,,,
PM181104_kocurin,,d,antimicrobiano,,,,,,sp,kocuria,marinus,aislado,,2007,,,,
nocardithiocin,,d,antimicrobiano,,,,,IFM_0757,pseudobrasiliensis,nocardia,,aislado,,2009,,,,
thiomuracins_A,,d,antimicrobiano,,,,,Bp3714-39,sp,nonomuraea,,,,,,,,
thiomuracins_B,,d,,,,,,,,,,,,,,,,
thiomuracins_C,,d,,,,,,,,,,,,,,,,
thiomuracins_D,,d,,,,,,,,,,,,,,,,
thiomuracins_E,,d,,,,,,,,,,,,,,,,
thiomuracins_F,,d,,,,,,,,,,,,,,,,
thiomuracins_G,,d,,,,,,,,,,,,,,,,
thiomuracins_H,,d,,,,,,,,,,,,,,,,
thiomuracins_I,,d,antimicrobiano,,,,,,,,,,,,,,,
TP-1161,,d,antimicrobiano,,,,,TFS65-07,sp,nocardiopsis,marinus,aislado,,2010,,,,
baringolin,,d,antimicrobiano,,,,,MI-67-EC3-038,sp,kocuria,,,,2012,,,,
lactocillina,,d,antimicrobiano,,,,,,gasseri,lactobacillus,vaginal,aislado,,2014,,,,
